env_id,best_tcp_to_target_distance
184,0.00940658524632454
185,0.009110921062529087
186,0.009301366284489632
187,0.009301366284489632
188,0.008881292305886745
189,0.009067506529390812
190,0.009384268894791603
191,0.008886720053851604
192,0.009422332048416138
193,0.009422332048416138
194,0.009240712970495224
195,0.008995081298053265
196,0.008995081298053265
197,0.00933008547872305
198,0.00933008547872305
199,0.009005430154502392
200,0.009193302132189274
201,0.009005430154502392
202,0.00933008547872305
203,0.00933008547872305
204,0.008995081298053265
205,0.008995081298053265
206,0.008995081298053265
207,0.009054141119122505
208,0.008980998769402504
209,0.009422332048416138
210,0.009197739884257317
211,0.009197739884257317
212,0.009197739884257317
213,0.009185108356177807
214,0.009185108356177807
215,0.009005430154502392
216,0.009193302132189274
217,0.009005430154502392
218,0.00933008547872305
219,0.00933008547872305
220,0.008995081298053265
221,0.008995081298053265
222,0.008995081298053265
223,0.009054141119122505
224,0.009054141119122505
225,0.009054141119122505
226,0.008995081298053265
227,0.009185965172946453
228,0.009197739884257317
229,0.009185108356177807
230,0.009185108356177807
231,0.00883460696786642
232,0.008854257874190807
233,0.00883460696786642
234,0.009185108356177807
235,0.009289192967116833
236,0.008995081298053265
237,0.008995081298053265
238,0.008995081298053265
239,0.009054141119122505
240,0.008935924619436264
241,0.008935924619436264
242,0.009120509959757328
243,0.009120509959757328
244,0.009120509959757328
245,0.009066569618880749
246,0.008971771225333214
247,0.009266451932489872
248,0.009163178503513336
249,0.009266451932489872
250,0.008949813432991505
251,0.008949813432991505
252,0.008998064324259758
253,0.008998064324259758
254,0.008998064324259758
255,0.009199322201311588
