step,obs/extra/right_tcp_pose_6d_from_bimanual_center_0,obs/extra/right_tcp_pose_6d_from_bimanual_center_1,obs/extra/right_tcp_pose_6d_from_bimanual_center_2,obs/extra/right_tcp_pose_6d_from_bimanual_center_3,obs/extra/right_tcp_pose_6d_from_bimanual_center_4,obs/extra/right_tcp_pose_6d_from_bimanual_center_5,obs/extra/right_tcp_pose_6d_from_bimanual_center_6,obs/extra/right_tcp_pose_6d_from_bimanual_center_7,obs/extra/right_tcp_pose_6d_from_bimanual_center_8
62,0.3560616970062256,-0.2555410861968994,0.23931974172592163,-0.9197649955749512,0.38377052545547485,0.08217503875494003,0.39047473669052124,0.9158909916877747,0.09313014894723892
63,0.3599868416786194,-0.2626394033432007,0.24294379353523254,-0.9131519794464111,0.3990531861782074,0.08312825113534927,0.40587761998176575,0.9089747667312622,0.09501712024211884
64,0.3635993003845215,-0.26965081691741943,0.24639126658439636,-0.9064497947692871,0.4138025641441345,0.08435910940170288,0.4207724928855896,0.901990532875061,0.09676587581634521
65,0.36683374643325806,-0.27630913257598877,0.2496822476387024,-0.8999377489089966,0.4274292290210724,0.08611873537302017,0.43461695313453674,0.8951975703239441,0.09863808751106262
66,0.3695823550224304,-0.28234031796455383,0.2528047561645508,-0.8938353061676025,0.4394623637199402,0.08905760198831558,0.4470493197441101,0.8887763619422913,0.10111110657453537
67,0.37190601229667664,-0.2876946032047272,0.2557274401187897,-0.8881906270980835,0.4499037265777588,0.09329540282487869,0.45810502767562866,0.8827640414237976,0.10424704849720001
68,0.37395352125167847,-0.2925254702568054,0.25850799679756165,-0.8827328681945801,0.4593334197998047,0.09897323697805405,0.4684169888496399,0.8768326640129089,0.10839759558439255
69,0.37583765387535095,-0.2969876229763031,0.2611740827560425,-0.8772244453430176,0.46820345520973206,0.10612596571445465,0.47848060727119446,0.8707032203674316,0.11372007429599762
70,0.3775964379310608,-0.30118805170059204,0.26376888155937195,-0.8715711832046509,0.4766835570335388,0.11461453139781952,0.4884883165359497,0.8642486333847046,0.1202225387096405
71,0.3793722093105316,-0.30524030327796936,0.2666047513484955,-0.8659076690673828,0.4847956597805023,0.12319672107696533,0.4982905089855194,0.8575464487075806,0.1277523934841156
72,0.3816003203392029,-0.30944186449050903,0.2700280547142029,-0.8603212833404541,0.49299347400665283,0.1296343207359314,0.5078929662704468,0.8507032990455627,0.1354570835828781
73,0.38436925411224365,-0.3140678405761719,0.274012953042984,-0.8545219898223877,0.5018957853317261,0.13376492261886597,0.517791748046875,0.8434652090072632,0.14303210377693176
74,0.38755255937576294,-0.3192281126976013,0.27840855717658997,-0.8482952117919922,0.5117315053939819,0.13611064851284027,0.5282448530197144,0.8356656432151794,0.15040072798728943
75,0.3909982442855835,-0.32490143179893494,0.28314775228500366,-0.8416612148284912,0.5223605036735535,0.1369156688451767,0.539114773273468,0.8273757696151733,0.15749502182006836
76,0.3946300745010376,-0.33105698227882385,0.2882593274116516,-0.8346514701843262,0.5336753129959106,0.13619095087051392,0.5502636432647705,0.818668007850647,0.16429437696933746
77,0.3983893394470215,-0.3377566933631897,0.2936311960220337,-0.8270634412765503,0.5458204746246338,0.1343357264995575,0.5618933439254761,0.8094037771224976,0.17070864140987396
78,0.40225750207901,-0.345168799161911,0.2991110384464264,-0.8185091018676758,0.5591675043106079,0.13181248307228088,0.574455738067627,0.7992547750473022,0.17661403119564056
79,0.4061577320098877,-0.35336393117904663,0.3046039640903473,-0.8087881803512573,0.5737959742546082,0.12891873717308044,0.5880935788154602,0.7880661487579346,0.18192771077156067
80,0.4100836515426636,-0.3623393177986145,0.3101915717124939,-0.7979388236999512,0.5895900130271912,0.12520840764045715,0.6026034951210022,0.7759630680084229,0.1864144206047058
81,0.4139636754989624,-0.3720914125442505,0.3158091604709625,-0.7858434915542603,0.6064766049385071,0.12097987532615662,0.6179969906806946,0.7628457546234131,0.19012121856212616
82,0.4176066517829895,-0.3826887607574463,0.3209162652492523,-0.7719393968582153,0.6245847940444946,0.11833669990301132,0.6348706483840942,0.7479771375656128,0.19357049465179443
83,0.42098456621170044,-0.39422664046287537,0.32531410455703735,-0.7559773921966553,0.6439468860626221,0.11760511994361877,0.6533396244049072,0.7311122417449951,0.19652563333511353
84,0.4240557551383972,-0.406449556350708,0.32905930280685425,-0.7383129596710205,0.6639482378959656,0.11860388517379761,0.6727716326713562,0.7125606536865234,0.1990872323513031
85,0.4268115162849426,-0.41891229152679443,0.3322926461696625,-0.719667911529541,0.68369060754776,0.12101826071739197,0.6922250390052795,0.692990243434906,0.2014670968055725
86,0.4292750358581543,-0.43134620785713196,0.33522915840148926,-0.7006254196166992,0.7026391625404358,0.12418635189533234,0.7110405564308167,0.6730022430419922,0.20368915796279907
87,0.43145328760147095,-0.44357216358184814,0.3381667137145996,-0.6816884279251099,0.7204841375350952,0.12729382514953613,0.7287347316741943,0.6531265377998352,0.20584318041801453
88,0.43338048458099365,-0.4554661214351654,0.3412144184112549,-0.6631358861923218,0.7370983362197876,0.13014160096645355,0.7451332807540894,0.6336288452148438,0.20806428790092468
89,0.435104101896286,-0.46693456172943115,0.3443787395954132,-0.6451550722122192,0.7524259090423584,0.13277897238731384,0.7601906061172485,0.6146787405014038,0.21042902767658234
90,0.4366779327392578,-0.4779115915298462,0.3476469814777374,-0.627888560295105,0.7664574980735779,0.1352740377187729,0.7739123702049255,0.5964071750640869,0.21297433972358704
91,0.43816637992858887,-0.48835137486457825,0.3509712517261505,-0.6114040613174438,0.7792184948921204,0.13785341382026672,0.7863683104515076,0.5788336992263794,0.21581561863422394
92,0.4396301507949829,-0.4982134997844696,0.3542952537536621,-0.595782995223999,0.7907278537750244,0.14068466424942017,0.7976162433624268,0.5620142817497253,0.21897095441818237
93,0.44111818075180054,-0.5074466466903687,0.357624888420105,-0.5811618566513062,0.800984263420105,0.14378772675991058,0.8076580762863159,0.5460637211799622,0.22249220311641693
94,0.44267797470092773,-0.5159896016120911,0.360981285572052,-0.5676994323730469,0.8099778294563293,0.14715175330638885,0.8164790272712708,0.5311169624328613,0.2264440804719925
95,0.4443581700325012,-0.5237970948219299,0.36436450481414795,-0.555518388748169,0.8177180886268616,0.15078650414943695,0.8240932822227478,0.5172815322875977,0.23084649443626404
96,0.44619956612586975,-0.5308376550674438,0.36776667833328247,-0.544705867767334,0.8242288827896118,0.15473349392414093,0.8305362462997437,0.5046205520629883,0.23572812974452972
97,0.4482160210609436,-0.5371237993240356,0.371189683675766,-0.5352602005004883,0.8295691013336182,0.15909646451473236,0.8358809947967529,0.4930732250213623,0.24120905995368958
98,0.4504247307777405,-0.5426669120788574,0.3746111989021301,-0.527174711227417,0.8337934017181396,0.163937509059906,0.8402007818222046,0.4826023578643799,0.24730072915554047
99,0.45284900069236755,-0.5474551916122437,0.3780162036418915,-0.5204882621765137,0.836921751499176,0.16927555203437805,0.8435311913490295,0.4732261300086975,0.25399258732795715
100,0.45550045371055603,-0.5514370203018188,0.3814585208892822,-0.5153336524963379,0.8389249444007874,0.17503270506858826,0.8458247780799866,0.4650372862815857,0.2613825500011444
101,0.4584043025970459,-0.5545697808265686,0.38493722677230835,-0.5118024349212646,0.8397806882858276,0.18118125200271606,0.8470715284347534,0.45811283588409424,0.2694483697414398
102,0.4615790843963623,-0.5568692684173584,0.3883839547634125,-0.5098402500152588,0.839516282081604,0.1878177374601364,0.8473546504974365,0.452383816242218,0.2780989110469818
103,0.46504783630371094,-0.5582930445671082,0.3915172517299652,-0.5093305110931396,0.8381906747817993,0.19498476386070251,0.8467725515365601,0.44771867990493774,0.2872704863548279
104,0.4688491225242615,-0.5587594509124756,0.39418959617614746,-0.5103068351745605,0.8357665538787842,0.20268578827381134,0.8453247547149658,0.4441298246383667,0.29694250226020813
