step,obs/extra/left_tcp_pose_6d_from_bimanual_center_0,obs/extra/left_tcp_pose_6d_from_bimanual_center_1,obs/extra/left_tcp_pose_6d_from_bimanual_center_2,obs/extra/left_tcp_pose_6d_from_bimanual_center_3,obs/extra/left_tcp_pose_6d_from_bimanual_center_4,obs/extra/left_tcp_pose_6d_from_bimanual_center_5,obs/extra/left_tcp_pose_6d_from_bimanual_center_6,obs/extra/left_tcp_pose_6d_from_bimanual_center_7,obs/extra/left_tcp_pose_6d_from_bimanual_center_8
55,0.5363657474517822,0.06774616241455078,0.0015770494937896729,-0.5388693809509277,-0.8388884663581848,-0.07671937346458435,0.3677920699119568,-0.15236115455627441,-0.9173412322998047
56,0.5403826236724854,0.0784916877746582,-0.0035098567605018616,-0.5291600227355957,-0.8446661233901978,-0.08080268651247025,0.3775079846382141,-0.1490699052810669,-0.9139289259910583
57,0.537761926651001,0.08909177780151367,-0.011050231754779816,-0.5422220230102539,-0.8354421257972717,-0.08962178975343704,0.37675273418426514,-0.14640045166015625,-0.9146718382835388
58,0.5362370014190674,0.08529186248779297,-0.01271754503250122,-0.5354799032211304,-0.8410993814468384,-0.07624498754739761,0.3753291666507721,-0.15612924098968506,-0.9136475324630737
59,0.5436451435089111,0.07573795318603516,-0.008167989552021027,-0.5314469337463379,-0.8445596694946289,-0.0654464066028595,0.38328027725219727,-0.17084383964538574,-0.9076941609382629
60,0.54823899269104,0.0762796401977539,-0.00904606282711029,-0.5423052310943604,-0.8366802930831909,-0.07662550359964371,0.3783434331417084,-0.16175758838653564,-0.9114224910736084
61,0.5503041744232178,0.08212661743164062,-0.00741460919380188,-0.5341802835464478,-0.8413603901863098,-0.08224565535783768,0.3732747733592987,-0.14745759963989258,-0.915926992893219
62,0.544421911239624,0.08350038528442383,-0.008100882172584534,-0.5268051624298096,-0.846206784248352,-0.0800667479634285,0.3606957793235779,-0.13726258277893066,-0.9225277900695801
63,0.5412609577178955,0.08308887481689453,-0.006827816367149353,-0.5358449220657349,-0.8397947549819946,-0.0872635766863823,0.3562794029712677,-0.13119995594024658,-0.9251224994659424
64,0.5393927097320557,0.07261848449707031,-0.00495302677154541,-0.5594184398651123,-0.8241010308265686,-0.08893036097288132,0.363138884305954,-0.14722466468811035,-0.9200300574302673
65,0.534351110458374,0.07129955291748047,-0.006621606647968292,-0.5438063144683838,-0.8359286189079285,-0.07415024191141129,0.35899409651756287,-0.15185272693634033,-0.9209039211273193
66,0.5371325016021729,0.07296943664550781,-0.003014788031578064,-0.5405738353729248,-0.8377976417541504,-0.07665053755044937,0.3688536286354065,-0.15413427352905273,-0.9166185855865479
67,0.5445239543914795,0.07334089279174805,-0.00379006564617157,-0.5598833560943604,-0.8235524892807007,-0.09106064587831497,0.38112348318099976,-0.15838897228240967,-0.9108555316925049
68,0.5353672504425049,0.0820627212524414,-0.01879577338695526,-0.5431041717529297,-0.8362467885017395,-0.07569186389446259,0.3513201177120209,-0.14443683624267578,-0.9250471591949463
69,0.53916335105896,0.07866096496582031,-0.008037403225898743,-0.5229595899581909,-0.8497238159179688,-0.0669541209936142,0.35793355107307434,-0.14763975143432617,-0.9220011830329895
70,0.5455024242401123,0.07375288009643555,-0.0037141889333724976,-0.534602165222168,-0.8416188955307007,-0.07667077332735062,0.3700796663761139,-0.15158021450042725,-0.9165503978729248
71,0.54123854637146,0.08109140396118164,-0.012208119034767151,-0.5633324384689331,-0.8203690052032471,-0.09824161976575851,0.3602072298526764,-0.13684189319610596,-0.922781229019165
72,0.5381104946136475,0.07770919799804688,-0.00849682092666626,-0.5510716438293457,-0.8300138115882874,-0.08600763231515884,0.3558598458766937,-0.14052867889404297,-0.9239131808280945
73,0.5325586795806885,0.07450389862060547,-0.005068846046924591,-0.526009202003479,-0.8478112816810608,-0.06730977445840836,0.34959110617637634,-0.14339089393615723,-0.925864577293396
74,0.5429713726043701,0.0684957504272461,2.777576446533203e-05,-0.5316026210784912,-0.8440529108047485,-0.07052332907915115,0.37054628133773804,-0.15688776969909668,-0.9154680967330933
75,0.5424935817718506,0.07522249221801758,-0.008135110139846802,-0.5603624582290649,-0.823216438293457,-0.0911513939499855,0.3727651834487915,-0.15239036083221436,-0.9153268337249756
76,0.5355350971221924,0.08496761322021484,-0.015431374311447144,-0.5437275171279907,-0.8352862596511841,-0.08159168809652328,0.3534053862094879,-0.1396951675415039,-0.9249811172485352
77,0.5396616458892822,0.073455810546875,-0.003228604793548584,-0.5301955938339233,-0.8450812697410583,-0.06877835094928741,0.3660432696342468,-0.15497124195098877,-0.9176036715507507
78,0.5429165363311768,0.07098865509033203,-0.004075556993484497,-0.5384423732757568,-0.839303731918335,-0.07516128569841385,0.36809760332107544,-0.15403366088867188,-0.9169394373893738
79,0.5402600765228271,0.07857227325439453,-0.010943368077278137,-0.5606677532196045,-0.8227645754814148,-0.09332728385925293,0.3613106608390808,-0.1416722536087036,-0.9216200113296509
80,0.5357825756072998,0.08078575134277344,-0.009735092520713806,-0.5447731018066406,-0.8344221115112305,-0.08344054967164993,0.3517729341983795,-0.13706588745117188,-0.9259961843490601
81,0.5371935367584229,0.06888294219970703,-0.002147667109966278,-0.5329294204711914,-0.8434742093086243,-0.0673622265458107,0.3597136437892914,-0.1537785530090332,-0.9203034043312073
82,0.5429255962371826,0.07085657119750977,-0.0031517595052719116,-0.5369888544082642,-0.8402025699615479,-0.07551699876785278,0.36921337246894836,-0.15359067916870117,-0.9165650606155396
83,0.5399658679962158,0.07882452011108398,-0.009334132075309753,-0.5587999820709229,-0.8241013288497925,-0.09273499250411987,0.36761391162872314,-0.14591562747955322,-0.9184600114822388
84,0.5321533679962158,0.08270263671875,-0.013764873147010803,-0.5449061393737793,-0.8346136212348938,-0.08060870319604874,0.34994348883628845,-0.13899898529052734,-0.9264011383056641
85,0.5386707782745361,0.06639432907104492,-0.002460107207298279,-0.5418261289596558,-0.8376619815826416,-0.06890008598566055,0.36634376645088196,-0.1615910530090332,-0.9163409471511841
