step,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6,actions_7,actions_8,actions_9,actions_10,actions_11,actions_12,actions_13,actions_14,actions_15
33,-0.024769390001893044,-0.3533306121826172,0.19189034402370453,-0.5118448138237,0.17003870010375977,-0.5121062397956848,0.47946855425834656,0.07494252920150757,0.30814725160598755,0.2923814654350281,-0.2117312252521515,-1.7349748611450195,-0.5499699115753174,-0.6592012643814087,-0.9078788161277771,0.11252684146165848
34,-0.05894430726766586,-0.3913726508617401,0.19013594090938568,-0.5173296928405762,0.1759316772222519,-0.5211071372032166,0.48340708017349243,0.07424449175596237,0.2855045199394226,0.2571752071380615,-0.24206256866455078,-1.7243471145629883,-0.5397874116897583,-0.6094633340835571,-0.8925727009773254,0.12945064902305603
35,-0.09594858437776566,-0.4059544503688812,0.18801310658454895,-0.5104302167892456,0.16727161407470703,-0.5297254920005798,0.4796169400215149,0.070675328373909,0.2721577286720276,0.2321901023387909,-0.25762805342674255,-1.7085113525390625,-0.5154964327812195,-0.5720090270042419,-0.8751912713050842,0.141458660364151
36,-0.1192326471209526,-0.4012187123298645,0.19832153618335724,-0.48132631182670593,0.16003820300102234,-0.553778350353241,0.47494566440582275,0.055211037397384644,0.2539880573749542,0.20686709880828857,-0.27138444781303406,-1.6927483081817627,-0.5197222232818604,-0.5266067981719971,-0.8537258505821228,0.14380446076393127
37,-0.10630161315202713,-0.4314008057117462,0.2018788605928421,-0.5091781616210938,0.1694764345884323,-0.5434120297431946,0.4818164110183716,0.07321358472108841,0.28887829184532166,0.24548962712287903,-0.2191358208656311,-1.6279959678649902,-0.4701165556907654,-0.5005711317062378,-0.8131723403930664,0.1477324664592743
38,-0.10072331875562668,-0.43331608176231384,0.202815979719162,-0.5046160817146301,0.1517082005739212,-0.5559446215629578,0.4816519021987915,0.0912480503320694,0.32086181640625,0.28593549132347107,-0.17626777291297913,-1.58225417137146,-0.430489718914032,-0.49636897444725037,-0.7964689135551453,0.1448051631450653
39,-0.09793063253164291,-0.4363672733306885,0.20439815521240234,-0.5084625482559204,0.14396491646766663,-0.5677571296691895,0.4968971014022827,0.10439527779817581,0.32241591811180115,0.3085865080356598,-0.1822187602519989,-1.5367447137832642,-0.40683645009994507,-0.49293309450149536,-0.78488689661026,0.14341574907302856
40,-0.33045029640197754,-0.317714124917984,0.178343266248703,-0.42490696907043457,0.1191631406545639,-0.5120967030525208,0.4538643956184387,-0.0021110372617840767,0.14659373462200165,0.07484369724988937,-0.4681687355041504,-1.5431342124938965,-0.3727976679801941,-0.3630724549293518,-0.7705158591270447,0.1410456895828247
41,-0.26806896924972534,-0.35976094007492065,0.22642512619495392,-0.420204222202301,0.1321708858013153,-0.5104538798332214,0.46146339178085327,0.0011337269097566605,0.16966001689434052,0.0823957547545433,-0.4174377918243408,-1.465696096420288,-0.39019036293029785,-0.31271517276763916,-0.6900714635848999,0.1428700089454651
42,-0.2733059525489807,-0.3511609137058258,0.22983120381832123,-0.40280237793922424,0.12799884378910065,-0.4937005639076233,0.43746641278266907,0.0012264866381883621,0.1980898231267929,0.11022745817899704,-0.37695619463920593,-1.4054977893829346,-0.3440576195716858,-0.28215670585632324,-0.650435745716095,0.1380317509174347
