step,env_index,observation,action,clipped_action,direct_joint_command
103,0,"[-0.0887153372168541, -0.20368517935276031, 0.1597428172826767, 0.4841068685054779, 0.11217452585697174, 0.5915220379829407, 0.008577669970691204, 0.05588042736053467, 0.7716740369796753, -1.1057958602905273, 0.8501285314559937, -1.423497200012207, 0.018762044608592987, -2.3831536769866943, 0.08863970637321472, 0.4431886076927185, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6731420159339905, -0.22092658281326294, -1.1645457744598389, 0.8294227123260498, 0.5421639084815979, -1.8865742683410645, 0.1219659075140953, -1.690816879272461]","[0.6731420159339905, -0.22092658281326294, -1.0, 0.8294227123260498, 0.5421639084815979, -1.0, 0.1219659075140953, -1.0]","[-0.021401137113571167, -0.22577783465385437, 0.05974281579256058, 0.5670491456985474, 0.16639092564582825, 0.49152204394340515, 0.02077426016330719, 790.0]"
104,0,"[-0.0035381698980927467, -0.2195408195257187, 0.07177352905273438, 0.47244811058044434, 0.16485804319381714, 0.49320316314697266, 0.020725954324007034, 0.04197632521390915, -0.7456096410751343, 0.2810192108154297, -0.6666120290756226, 0.713225245475769, 0.16026853024959564, -1.886749029159546, 0.010284436866641045, -0.6143945455551147, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[1.1438820362091064, 0.32971641421318054, -0.36257123947143555, 0.25241410732269287, 0.2834928333759308, -1.0949664115905762, 0.021259043365716934, -1.5313318967819214]","[1.0, 0.32971641421318054, -0.36257123947143555, 0.25241410732269287, 0.2834928333759308, -1.0, 0.021259043365716934, -1.0]","[0.09646183252334595, -0.1865691840648651, 0.0355164036154747, 0.49768951535224915, 0.19320732355117798, 0.39320316910743713, 0.022851858288049698, 790.0]"
105,0,"[0.06906763464212418, -0.1672191023826599, 0.01559753343462944, 0.5133849382400513, 0.19697535037994385, 0.3802926540374756, 0.023148655891418457, 0.029403313994407654, 0.5881034731864929, 0.005437988787889481, 1.0845129489898682, -0.10431580245494843, 0.010491245426237583, -0.25721225142478943, 0.02900504134595394, 0.20172744989395142, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.2395685613155365, -0.0741320550441742, -1.3498294353485107, 0.5244175791740417, 0.05189012736082077, -0.4428168535232544, 0.0670953094959259, -1.5353575944900513]","[0.2395685613155365, -0.0741320550441742, -1.0, 0.5244175791740417, 0.05189012736082077, -0.4428168535232544, 0.0670953094959259, -1.0]","[0.09302449226379395, -0.17463231086730957, -0.08440247178077698, 0.5658267140388489, 0.20216436684131622, 0.33601096272468567, 0.029858186841011047, 790.0]"
106,0,"[0.12339602410793304, -0.15442189574241638, -0.04243610054254532, 0.5407857894897461, 0.19785968959331512, 0.34323322772979736, 0.029565319418907166, 0.015247957780957222, -3.0573713779449463, -0.047524623572826385, 1.4961515665054321, 0.9389132857322693, 0.4312100112438202, -0.462021142244339, -0.0917012169957161, -1.0107725858688354, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6713984608650208, 0.3704288601875305, -0.14579841494560242, -0.3794887661933899, -0.15823931992053986, 0.5458061099052429, 0.007665188051760197, -1.1945514678955078]","[0.6713984608650208, 0.3704288601875305, -0.14579841494560242, -0.3794887661933899, -0.15823931992053986, 0.5458061099052429, 0.007665188051760197, -1.0]","[0.19053587317466736, -0.11737900972366333, -0.05701594054698944, 0.5028369426727295, 0.18203575909137726, 0.3978138267993927, 0.030331838876008987, 790.0]"
107,0,"[0.157058447599411, -0.11571984738111496, -0.08046247065067291, 0.535575270652771, 0.18580493330955505, 0.3901837468147278, 0.030613571405410767, 0.001801227917894721, 0.40102455019950867, 0.5938490629196167, 0.9199302196502686, -1.6165410280227661, -0.08164761960506439, 0.91921466588974, -0.0028361910954117775, 0.1948096603155136, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.10046705603599548, -0.9001696109771729, -1.232305884361267, 1.3805310726165771, 0.13593517243862152, -0.9488387703895569, -0.009831546805799007, -1.5540896654129028]","[0.10046705603599548, -0.9001696109771729, -1.0, 1.0, 0.13593517243862152, -0.9488387703895569, -0.009831546805799007, -1.0]","[0.16710515320301056, -0.20573681592941284, -0.18046247959136963, 0.6355752944946289, 0.1993984580039978, 0.29529985785484314, 0.029630417004227638, 790.0]"
108,0,"[0.19929790496826172, -0.14318089187145233, -0.13475073873996735, 0.43811896443367004, 0.19434493780136108, 0.3060075044631958, 0.029207589104771614, 0.00019719784904737025, -3.485933303833008, -1.6104861497879028, 1.7629021406173706, -2.101665496826172, 0.4852122366428375, -2.408142328262329, -0.13334596157073975, -0.23900283873081207, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7356447577476501, -0.8758935928344727, 0.03327085077762604, 1.1666288375854492, 0.3209659457206726, -0.7243235111236572, -0.006760186515748501, -1.2738546133041382]","[0.7356447577476501, -0.8758935928344727, 0.03327085077762604, 1.0, 0.3209659457206726, -0.7243235111236572, -0.006760186515748501, -1.0]","[0.27286237478256226, -0.2307702600955963, -0.13142365217208862, 0.5381189584732056, 0.22644153237342834, 0.23357515037059784, 0.028531569987535477, 790.0]"
109,0,"[0.2446659654378891, -0.25246483087539673, -0.16587680578231812, 0.3719121813774109, 0.2323983758687973, 0.22901469469070435, 0.028807342052459717, -0.0005464727873913944, 1.9395954608917236, -0.8629733324050903, -0.022972216829657555, -0.05144272744655609, -0.3606320023536682, -1.8837305307388306, 0.14030572772026062, 0.7496957778930664, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.15546339750289917, 0.21439865231513977, -1.204338788986206, 0.6952404379844666, 0.076837919652462, -0.47499045729637146, -0.05063559114933014, -1.8002861738204956]","[0.15546339750289917, 0.21439865231513977, -1.0, 0.6952404379844666, 0.076837919652462, -0.47499045729637146, -0.05063559114933014, -1.0]","[0.2602123022079468, -0.23102496564388275, -0.26587679982185364, 0.441436231136322, 0.24008217453956604, 0.1815156489610672, 0.023743782192468643, 790.0]"
110,0,"[0.2893781363964081, -0.20970439910888672, -0.2339998036623001, 0.4434608519077301, 0.23445887863636017, 0.18085478246212006, 0.02366033010184765, 0.0004583978734444827, -1.9756569862365723, 0.5924636721611023, -0.19498206675052643, 1.2954957485198975, 0.2602742314338684, -0.4867824912071228, -0.11073868721723557, -0.6875980496406555, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[1.028579592704773, 0.3925335109233856, 0.38128119707107544, -0.15693318843841553, 0.03035738132894039, 0.9809430241584778, -0.04930568486452103, -1.255049467086792]","[1.0, 0.3925335109233856, 0.38128119707107544, -0.15693318843841553, 0.03035738132894039, 0.9809430241584778, -0.04930568486452103, -1.0]","[0.3893781304359436, -0.17045104503631592, -0.19587168097496033, 0.4277675449848175, 0.23749461770057678, 0.2789490818977356, 0.018729761242866516, 790.0]"
111,0,"[0.3643876612186432, -0.1629333198070526, -0.31744351983070374, 0.4548371434211731, 0.24219493567943573, 0.2697719931602478, 0.01949344016611576, 5.485074143507518e-05, 3.226146697998047, 0.27671343088150024, -2.0286693572998047, -1.4803515672683716, -1.0468796491622925, 1.4929792881011963, 0.049584243446588516, -0.08228974044322968, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.10670322179794312, -0.677646279335022, -0.8276877403259277, 1.307051658630371, 0.09693729877471924, -0.8736132979393005, -0.080623097717762, -1.653473138809204]","[0.10670322179794312, -0.677646279335022, -0.8276877403259277, 1.0, 0.09693729877471924, -0.8736132979393005, -0.080623097717762, -1.0]","[0.37505799531936646, -0.23069795966148376, -0.40021228790283203, 0.554837167263031, 0.2518886625766754, 0.18241065740585327, 0.011431130580604076, 790.0]"
112,0,"[0.4032905697822571, -0.20809948444366455, -0.3813130259513855, 0.36240360140800476, 0.24717915058135986, 0.19475872814655304, 0.011242824606597424, -5.933491138421232e-06, -0.8733437657356262, -1.847447156906128, -1.2328370809555054, -1.904417872428894, 0.1221497505903244, -2.4862639904022217, 0.0046279882080852985, -0.09129277616739273, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7761335372924805, -0.5417741537094116, 0.5492393374443054, 1.0204527378082275, 0.309776246547699, -0.5974048972129822, -0.04252590984106064, -1.474778175354004]","[0.7761335372924805, -0.5417741537094116, 0.5492393374443054, 1.0, 0.309776246547699, -0.5974048972129822, -0.04252590984106064, -1.0]","[0.4809039235115051, -0.26227688789367676, -0.3263891041278839, 0.4624035954475403, 0.2781567871570587, 0.1350182294845581, 0.006990233436226845, 790.0]"
113,0,"[0.45741674304008484, -0.2805077135562897, -0.43302732706069946, 0.3355802297592163, 0.28402864933013916, 0.1320386826992035, 0.007645094767212868, -0.0002635163255035877, 2.1821062564849854, 0.38892310857772827, -0.7778894901275635, 0.8642297983169556, -1.1086573600769043, -1.7009059190750122, 0.0879862904548645, 0.2324443757534027, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.18185517191886902, 0.32057490944862366, -0.5907595753669739, 0.7108361124992371, -0.001846427097916603, 0.0702938362956047, -0.10606994479894638, -1.6598167419433594]","[0.18185517191886902, 0.32057490944862366, -0.5907595753669739, 0.7108361124992371, -0.001846427097916603, 0.0702938362956047, -0.10606994479894638, -1.0]","[0.47560226917266846, -0.24845021963119507, -0.4921032786369324, 0.40666383504867554, 0.283843994140625, 0.13906806707382202, -0.0029619000852108, 790.0]"
114,0,"[0.4863715171813965, -0.22040297091007233, -0.4872635304927826, 0.4172388017177582, 0.28362810611724854, 0.138853058218956, -0.002896371530368924, -1.064469415723579e-05, -0.740220844745636, -0.2275814563035965, -0.5534234642982483, 0.5540658235549927, 0.14700859785079956, 0.33194851875305176, 0.006249731406569481, 0.00806052889674902, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.7996662855148315, 0.2704588770866394, 0.5186486840248108, 0.24898648262023926, 0.15217463672161102, 0.7512263655662537, -0.006990215741097927, -1.3811894655227661]","[0.7996662855148315, 0.2704588770866394, 0.5186486840248108, 0.24898648262023926, 0.15217463672161102, 0.7512263655662537, -0.006990215741097927, -1.0]","[0.5663381218910217, -0.19335708022117615, -0.435398668050766, 0.4421374499797821, 0.2988455593585968, 0.2139756977558136, -0.0035953931510448456, 790.0]"
115,0,"[0.5411425828933716, -0.18217156827449799, -0.5127574801445007, 0.4495542645454407, 0.30419906973838806, 0.21244372427463531, -0.0030678906477987766, -0.0002244155912194401, 3.063282012939453, 0.30957314372062683, -1.1203194856643677, -0.18990524113178253, -0.9614061117172241, 0.9889963269233704, 0.1017833724617958, 0.32113009691238403, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.17982199788093567, -0.44660452008247375, -0.8069819211959839, 1.071281909942627, -0.03476131707429886, -0.24048680067062378, -0.02853449434041977, -1.5198402404785156]","[-0.17982199788093567, -0.44660452008247375, -0.8069819211959839, 1.0, -0.03476131707429886, -0.24048680067062378, -0.02853449434041977, -1.0]","[0.5231603980064392, -0.22683201730251312, -0.5934556722640991, 0.5495542883872986, 0.3007229268550873, 0.18839503824710846, -0.0059213400818407536, 790.0]"
116,0,"[0.551865816116333, -0.21695494651794434, -0.5213238596916199, 0.4394628703594208, 0.29488125443458557, 0.20163433253765106, -0.00648777699097991, -9.630207387090195e-06, -3.0435714721679688, -0.9552741646766663, 1.5705043077468872, -0.027219614014029503, 0.7626802921295166, -1.1440788507461548, -0.1095292791724205, -0.010537187568843365, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.30608561635017395, 0.32049909234046936, 0.36758577823638916, 0.083365298807621, -0.1533014327287674, 0.615763783454895, 0.009552360512316227, -1.2816333770751953]","[0.30608561635017395, 0.32049909234046936, 0.36758577823638916, 0.083365298807621, -0.1533014327287674, 0.615763783454895, 0.009552360512316227, -1.0]","[0.5824743509292603, -0.1849050372838974, -0.48456528782844543, 0.447799414396286, 0.27955111861228943, 0.2632107138633728, -0.00553254084661603, 790.0]"
117,0,"[0.5533722043037415, -0.17990517616271973, -0.5211783051490784, 0.46124666929244995, 0.28509557247161865, 0.2596801519393921, -0.00519433943554759, -3.2292675314238295e-05, 2.448148250579834, 0.8377034068107605, -0.8862197995185852, -0.2830146551132202, -0.3649998605251312, 0.7674895524978638, 0.11208004504442215, 0.42428240180015564, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.19138123095035553, -0.5851173400878906, -0.8026991486549377, 1.210190773010254, 0.012765733525156975, -0.4644372761249542, -0.06135416775941849, -1.4612146615982056]","[-0.19138123095035553, -0.5851173400878906, -0.8026991486549377, 1.0, 0.012765733525156975, -0.4644372761249542, -0.06135416775941849, -1.0]","[0.5342341065406799, -0.2384169101715088, -0.6014482378959656, 0.5612466931343079, 0.2863721549510956, 0.21323642134666443, -0.011329756118357182, 790.0]"
118,0,"[0.5653824806213379, -0.21025387942790985, -0.5470010042190552, 0.43507662415504456, 0.28101086616516113, 0.22620661556720734, -0.011791587807238102, -0.00017982014105655253, -3.045232057571411, -1.718796968460083, 1.3042151927947998, -0.7436360120773315, 0.6253196001052856, -1.5616425275802612, -0.12038230895996094, 0.1812540590763092, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.4229593276977539, 0.11568120121955872, 0.5480374693870544, 0.29873231053352356, 0.01429525576531887, 0.258985310792923, 0.016618065536022186, -1.266824722290039]","[0.4229593276977539, 0.11568120121955872, 0.5480374693870544, 0.29873231053352356, 0.01429525576531887, 0.258985310792923, 0.016618065536022186, -1.0]","[0.6076784133911133, -0.19868576526641846, -0.4921972453594208, 0.4649498462677002, 0.2824403941631317, 0.25210514664649963, -0.010129781439900398, 790.0]"
119,0,"[0.5823520421981812, -0.19589298963546753, -0.5700961351394653, 0.4711199700832367, 0.2876071631908417, 0.2464008331298828, -0.009574620984494686, -5.3931973525322974e-05, 2.8478925228118896, 0.7786810398101807, -1.6443626880645752, 0.7516494989395142, -0.8387820720672607, 0.28437569737434387, 0.0875336304306984, 0.1711658388376236, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.1689261794090271, -0.05122774839401245, -0.40194326639175415, 0.5788229703903198, 0.06214297562837601, 0.3067249059677124, -0.039204783737659454, -1.3455126285552979]","[0.1689261794090271, -0.05122774839401245, -0.40194326639175415, 0.5788229703903198, 0.06214297562837601, 0.3067249059677124, -0.039204783737659454, -1.0]","[0.5992446541786194, -0.20101577043533325, -0.6102904677391052, 0.5290022492408752, 0.29382145404815674, 0.27707332372665405, -0.013495098799467087, 790.0]"
120,0,"[0.6170669198036194, -0.18138721585273743, -0.599731981754303, 0.5144103169441223, 0.2918453812599182, 0.2855890989303589, -0.013669226318597794, -0.00022016014554537833, -0.3965304493904114, -0.631351113319397, -0.2861863076686859, 0.5312655568122864, 0.045596085488796234, 0.3421800136566162, 0.0010830729734152555, 0.2103521078824997, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.21253862977027893, 0.36847755312919617, 0.21145400404930115, -0.18312424421310425, -0.06872840970754623, 0.5789728164672852, 0.09008625894784927, -1.2327585220336914]","[0.21253862977027893, 0.36847755312919617, 0.21145400404930115, -0.18312424421310425, -0.06872840970754623, 0.5789728164672852, 0.09008625894784927, -1.0]","[0.638320803642273, -0.1445394605398178, -0.5785865783691406, 0.4960978925228119, 0.28497254848480225, 0.34348636865615845, -0.0046605998650193214, 790.0]"
121,0,"[0.6207791566848755, -0.14042794704437256, -0.58946692943573, 0.5079569220542908, 0.28668057918548584, 0.34310346841812134, -0.004509717226028442, 0.0001643295108806342, 0.7115781307220459, 0.932416558265686, 0.5121054649353027, -1.086281180381775, -0.08179094642400742, 0.9697489738464355, -0.014852135442197323, -0.11878159642219543, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.3866463303565979, -0.8100844621658325, -0.6797266602516174, 1.3090649843215942, -0.038747720420360565, -0.7940412163734436, -0.11746678501367569, -1.3889989852905273]","[-0.3866463303565979, -0.8100844621658325, -0.6797266602516174, 1.0, -0.038747720420360565, -0.7940412163734436, -0.11746678501367569, -1.0]","[0.5821145176887512, -0.22143639624118805, -0.6574395895004272, 0.6079569458961487, 0.28280580043792725, 0.26369935274124146, -0.01625639572739601, 790.0]"
122,0,"[0.6145516633987427, -0.1738773137331009, -0.6018741130828857, 0.43443286418914795, 0.27838003635406494, 0.27644097805023193, -0.016676057130098343, -0.0002288200194016099, -3.517091989517212, -2.0340535640716553, 1.753246784210205, -1.7610520124435425, 0.6071726083755493, -2.0324158668518066, -0.07404852658510208, 0.24126635491847992, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.19807183742523193, -0.5148698091506958, 0.5791049599647522, 0.8331207036972046, 0.09912741184234619, -0.5170712471008301, -0.0016361316666007042, -1.116671085357666]","[0.19807183742523193, -0.5148698091506958, 0.5791049599647522, 0.8331207036972046, 0.09912741184234619, -0.5170712471008301, -0.0016361316666007042, -1.0]","[0.634358823299408, -0.2253642976284027, -0.543963611125946, 0.5177449584007263, 0.2882927656173706, 0.2247338593006134, -0.01683967001736164, 790.0]"
123,0,"[0.6084535121917725, -0.24337755143642426, -0.5961863994598389, 0.4198169410228729, 0.29361170530319214, 0.22454389929771423, -0.016358211636543274, -0.00015092753164935857, 2.161033868789673, 0.5149357318878174, -0.8340228796005249, 1.183416485786438, -0.7093871235847473, -1.6882253885269165, 0.1267612725496292, 0.12526589632034302, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.10082551836967468, 0.3866935670375824, -0.3103976249694824, 0.23458129167556763, -0.01143842376768589, 0.30552226305007935, -0.060268618166446686, -1.4254481792449951]","[0.10082551836967468, 0.3866935670375824, -0.3103976249694824, 0.23458129167556763, -0.01143842376768589, 0.30552226305007935, -0.060268618166446686, -1.0]","[0.6185360550880432, -0.20470818877220154, -0.6272261738777161, 0.4432750642299652, 0.29246786236763, 0.2550961375236511, -0.022385073825716972, 790.0]"
124,0,"[0.630197286605835, -0.18532688915729523, -0.6201554536819458, 0.4601536691188812, 0.2912796437740326, 0.25476568937301636, -0.0223541259765625, 5.731966666644439e-05, -0.35708650946617126, -0.0759289488196373, -0.321957528591156, -0.7339906096458435, 0.07767932862043381, 0.8514640927314758, -0.002957726363092661, -0.07793127000331879, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.10530275106430054, -0.3818652331829071, 0.1685163974761963, 0.9381431937217712, -0.00734383799135685, -0.34609776735305786, -0.010085339657962322, -1.3785219192504883]","[0.10530275106430054, -0.3818652331829071, 0.1685163974761963, 0.9381431937217712, -0.00734383799135685, -0.34609776735305786, -0.010085339657962322, -1.0]","[0.6407275795936584, -0.2235134094953537, -0.6033037900924683, 0.5539680123329163, 0.290545254945755, 0.22015590965747833, -0.02336266078054905, 790.0]"
125,0,"[0.6336174011230469, -0.22505904734134674, -0.6089017987251282, 0.4327951967716217, 0.2914937734603882, 0.2262558937072754, -0.02331620454788208, -0.00024007879255805165, 0.33397233486175537, -0.432440847158432, 0.5165698528289795, 0.0427083857357502, -0.18852977454662323, -1.4940764904022217, 0.010293827392160892, 0.2803390622138977, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.15771393477916718, 0.23853197693824768, -0.31586602330207825, 0.41903820633888245, -0.10231185704469681, 0.11492114514112473, 0.019255466759204865, -1.4093503952026367]","[-0.15771393477916718, 0.23853197693824768, -0.31586602330207825, 0.41903820633888245, -0.10231185704469681, 0.11492114514112473, 0.019255466759204865, -1.0]","[0.6178460121154785, -0.20120584964752197, -0.6404883861541748, 0.4746990203857422, 0.2812625765800476, 0.23774801194667816, -0.021390657871961594, 790.0]"
126,0,"[0.6248223185539246, -0.18107394874095917, -0.6387575268745422, 0.4783845841884613, 0.2818017601966858, 0.23857331275939941, -0.0213167667388916, 5.536558455787599e-05, -0.7517444491386414, 0.1686657816171646, -0.5584333539009094, 0.2995046079158783, 0.14173735678195953, 0.4188374876976013, 0.008410511538386345, -0.03995492309331894, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.6285920143127441, -0.07012616097927094, 0.6797997355461121, 0.43500590324401855, 0.19444458186626434, 0.4796879291534424, -0.009205645881593227, -1.2195773124694824]","[0.6285920143127441, -0.07012616097927094, 0.6797997355461121, 0.43500590324401855, 0.19444458186626434, 0.4796879291534424, -0.009205645881593227, -1.0]","[0.6876814961433411, -0.18808656930923462, -0.5707775354385376, 0.5218851566314697, 0.3012462258338928, 0.2865421175956726, -0.022237330675125122, 790.0]"
127,0,"[0.6632395386695862, -0.18214555084705353, -0.650154173374176, 0.5098639726638794, 0.305458128452301, 0.28813043236732483, -0.02185911126434803, -0.0004561897658277303, 2.9925665855407715, -0.32915857434272766, -1.1687678098678589, 0.6755895614624023, -0.8752855062484741, 0.3942721486091614, 0.06617773324251175, 0.4033258557319641, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.16886651515960693, 0.24193692207336426, -0.5192267894744873, 0.05356926470994949, -0.08568883687257767, 0.3696932792663574, 0.0301780067384243, -1.3659017086029053]","[-0.16886651515960693, 0.24193692207336426, -0.5192267894744873, 0.05356926470994949, -0.08568883687257767, 0.3696932792663574, 0.0301780067384243, -1.0]","[0.6463528871536255, -0.15795186161994934, -0.7020768523216248, 0.5152208805084229, 0.2968892455101013, 0.32509976625442505, -0.01884131133556366, 790.0]"
128,0,"[0.6784598231315613, -0.14420337975025177, -0.6748994588851929, 0.5205623507499695, 0.2925126850605011, 0.33012211322784424, -0.018975161015987396, 0.000511847494635731, -1.4433305263519287, 0.4181288182735443, -0.16651910543441772, -0.6772016882896423, 0.12551908195018768, 0.849932849407196, -0.07399233430624008, -0.7633590698242188, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.3023032248020172, -0.5415768623352051, 0.5952419638633728, 0.8365629315376282, 0.04824935644865036, -0.19268015027046204, -0.0516996793448925, -1.1187000274658203]","[0.3023032248020172, -0.5415768623352051, 0.5952419638633728, 0.8365629315376282, 0.04824935644865036, -0.19268015027046204, -0.0516996793448925, -1.0]","[0.7086901664733887, -0.19836106896400452, -0.615375280380249, 0.6042186617851257, 0.2973376214504242, 0.31085410714149475, -0.024145130068063736, 790.0]"
129,0,"[0.6820954084396362, -0.20244565606117249, -0.6611884236335754, 0.4840148687362671, 0.30155497789382935, 0.31439948081970215, -0.023792507126927376, -0.0006300979293882847, 2.4999465942382812, -1.2943739891052246, -0.7063102126121521, -0.23025232553482056, -0.6804390549659729, -1.6184810400009155, 0.10347791761159897, 0.714165985584259, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[-0.3937791883945465, 0.21308884024620056, -0.5547845959663391, 0.1753888726234436, -0.1893649846315384, -0.08649293333292007, 0.01542679127305746, -1.423689603805542]","[-0.3937791883945465, 0.21308884024620056, -0.5547845959663391, 0.1753888726234436, -0.1893649846315384, -0.08649293333292007, 0.01542679127305746, -1.0]","[0.6427174806594849, -0.18113677203655243, -0.7166668772697449, 0.5015537738800049, 0.2826184928417206, 0.30575019121170044, -0.022249827161431313, 790.0]"
130,0,"[0.6724113821983337, -0.16793681681156158, -0.6790195107460022, 0.5079174041748047, 0.2782828211784363, 0.3070200979709625, -0.022440921515226364, 0.0005599496071226895, -2.4749133586883545, 0.7440353631973267, 0.42515191435813904, 0.06658231467008591, 0.4471895694732666, 0.4759625494480133, -0.11276370286941528, -0.7458776831626892, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.4901815950870514, -0.2557872533798218, 0.8370827436447144, 0.5648856163024902, 0.0830109491944313, 0.29356709122657776, -0.07576067000627518, -1.0290110111236572]","[0.4901815950870514, -0.2557872533798218, 0.8370827436447144, 0.5648856163024902, 0.0830109491944313, 0.29356709122657776, -0.07576067000627518, -1.0]","[0.7214295268058777, -0.19351553916931152, -0.5953112244606018, 0.5644059777259827, 0.28658393025398254, 0.336376816034317, -0.030016988515853882, 790.0]"
131,0,"[0.6988766193389893, -0.19075964391231537, -0.7095636129379272, 0.5297215580940247, 0.2900163531303406, 0.34241217374801636, -0.029740653932094574, -0.0005422808462753892, 2.9431796073913574, -0.6908380389213562, -1.7421081066131592, 1.1542009115219116, -0.875251054763794, 0.45810452103614807, 0.01904435269534588, 0.5040463209152222, 0.44305184483528137, 0.03439965099096298, -0.08534400165081024, -0.016326308250427246, -0.9998667240142822, -0.0, 0.9998667240142822, -0.016326308250427246, 0.0]","[0.1356736421585083, 0.5162885189056396, -0.09894071519374847, -0.33356574177742004, 0.07625999301671982, 0.37582212686538696, 0.03140532970428467, -1.3292373418807983]","[0.1356736421585083, 0.5162885189056396, -0.09894071519374847, -0.33356574177742004, 0.07625999301671982, 0.37582212686538696, 0.03140532970428467, -1.0]","[0.712444007396698, -0.13913078606128693, -0.7194576859474182, 0.4963649809360504, 0.2976423501968384, 0.37999439239501953, -0.026600120589137077, 790.0]"
