step_idx,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,direct_joint_command_0,direct_joint_command_1,direct_joint_command_2,direct_joint_command_3,direct_joint_command_4,direct_joint_command_5,direct_joint_command_6,direct_joint_command_7
20,-0.10775448381900787,-0.41293036937713623,-0.10798458009958267,0.6926230192184448,-0.10779283195734024,1.1971780061721802,-0.00731900567188859,0.6330000162124634,-0.09833912551403046,0.13863351941108704,-0.08486200869083405,0.009094314649701118,-0.0877930074930191,-0.14003053307533264,-0.015805481001734734,-0.0,0.3503028154373169,-0.10481524467468262,-0.07237215340137482,0.3053053915500641,-0.9520384669303894,0.02028128132224083,-0.9502092003822327,-0.30597570538520813,-0.05900285765528679,-0.5872273445129395,1.810781717300415,-0.7356647849082947,0.18368248641490936,-0.7818215489387512,-1.6189314126968384,-0.1039479672908783,-0.5395443439483643,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6981334686279297,-0.10966227203607559,1.1671780347824097,-0.01043744571506977,116.5
21,-0.10877074301242828,-0.40747132897377014,-0.1088436096906662,0.6941761374473572,-0.10881676524877548,1.1915981769561768,-0.008316093124449253,0.6620000004768372,-0.04226664826273918,0.1347711682319641,-0.03621290251612663,0.02980305440723896,-0.038596052676439285,-0.13712692260742188,-0.022105759009718895,-0.0,0.3496880829334259,-0.10459548979997635,-0.0725894570350647,0.3060828447341919,-0.9517894387245178,0.020251629874110222,-0.9499242901802063,-0.30675041675567627,-0.05956505239009857,-0.41383427381515503,1.7890548706054688,-0.5697770714759827,0.1888750195503235,-0.700965940952301,-1.5733026266098022,-0.1318664252758026,-0.5272330045700073,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.6998423933982849,-0.10966227203607559,1.1615982055664062,-0.012272086925804615,116.5
22,-0.10926736891269684,-0.4020026624202728,-0.10927312076091766,0.6961722373962402,-0.10927503556013107,1.1860988140106201,-0.009445486590266228,0.6909999847412109,-0.01643550768494606,0.136496901512146,-0.013942789286375046,0.04640292003750801,-0.01629854552447796,-0.13868829607963562,-0.027036411687731743,-0.0,0.3495637774467468,-0.10458246618509293,-0.07272745668888092,0.3068948984146118,-0.9515410661697388,0.019624728709459305,-0.9496938586235046,-0.30752140283584595,-0.05926385149359703,-0.3402661681175232,1.7770189046859741,-0.49610111117362976,0.20359021425247192,-0.6658960580825806,-1.5475094318389893,-0.1535022109746933,-0.5216658115386963,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7022799253463745,-0.10966227203607559,1.1560988426208496,-0.014050552621483803,116.5
23,-0.10947637259960175,-0.3965417146682739,-0.10943418741226196,0.6981587409973145,-0.10946295410394669,1.180572748184204,-0.011006312444806099,0.7170000076293945,-0.008108183741569519,0.1364694982767105,-0.006985091138631105,0.049826983362436295,-0.007122053764760494,-0.13778434693813324,-0.03467892110347748,-0.0,0.3511425852775574,-0.10527509450912476,-0.07165871560573578,0.30621451139450073,-0.9517378807067871,0.020680716261267662,-0.9498556852340698,-0.3069092333316803,-0.05984038859605789,-0.3138754367828369,1.769552230834961,-0.46720826625823975,0.22398850321769714,-0.6635721325874329,-1.537962555885315,-0.16477526724338531,-0.5147337317466736,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7048783898353577,-0.10966227203607559,1.1505727767944336,-0.015949569642543793,116.5
24,-0.10953006148338318,-0.39105579257011414,-0.10949362814426422,0.7003446817398071,-0.109535813331604,1.175067663192749,-0.012638084590435028,0.7260000109672546,-0.0024927188642323017,0.13685299456119537,-0.002136616036295891,0.05248405784368515,-0.002739251358434558,-0.1378939151763916,-0.03993828594684601,-0.0,0.351411372423172,-0.10539530962705612,-0.07149253785610199,0.3067304790019989,-0.9515743851661682,0.020557695999741554,-0.9496874809265137,-0.30741646885871887,-0.05990675091743469,-0.2979167103767395,1.7654626369476318,-0.4485369622707367,0.21839776635169983,-0.6519697904586792,-1.528338074684143,-0.17264115810394287,-0.5105158686637878,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7068966031074524,-0.10966227203607559,1.1450676918029785,-0.017817318439483643,116.5
25,-0.10958567261695862,-0.3856504261493683,-0.10956458002328873,0.7027300000190735,-0.10958950221538544,1.1695568561553955,-0.014432841911911964,0.7250000238418579,-0.001369625679217279,0.13611340522766113,-0.0017531209159642458,0.05779820308089256,-0.0015065883053466678,-0.13775695860385895,-0.043773237615823746,-0.0,0.35047686100006104,-0.1050042137503624,-0.0721188485622406,0.30763331055641174,-0.9512792825698853,0.020724602043628693,-0.9494327902793884,-0.30832719802856445,-0.059259310364723206,-0.2999756932258606,1.7643957138061523,-0.446911484003067,0.19300857186317444,-0.6255245208740234,-1.512910008430481,-0.1840355396270752,-0.5116865038871765,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.708520233631134,-0.10966227203607559,1.139556884765625,-0.019953908398747444,116.5
26,-0.1096048429608345,-0.38017797470092773,-0.10959142446517944,0.7049907445907593,-0.10961634665727615,1.1640344858169556,-0.016265949234366417,0.7260000109672546,-0.0007943828823044896,0.13605861365795135,-0.0010409154929220676,0.058126915246248245,-0.0009039529832080007,-0.13794870674610138,-0.044704582542181015,-0.0,0.35221272706985474,-0.10537325590848923,-0.07123935967683792,0.30528801679611206,-0.9520271420478821,0.02106083184480667,-0.950098991394043,-0.30600985884666443,-0.06057923287153244,-0.29187679290771484,1.7641264200210571,-0.43596285581588745,0.20188188552856445,-0.6294423341751099,-1.5131210088729858,-0.1846415251493454,-0.5055484175682068,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7110471725463867,-0.10966227203607559,1.134034514427185,-0.02180519513785839,116.5
27,-0.10963743925094604,-0.3747246563434601,-0.10964127629995346,0.706940770149231,-0.10963360965251923,1.1585428714752197,-0.01822560839354992,0.7260000109672546,-0.0006574203143827617,0.13668864965438843,-0.0010135229676961899,0.05155271291732788,-0.0005204577464610338,-0.13742823898792267,-0.047662973403930664,-0.0,0.35113170742988586,-0.10496494174003601,-0.07179093360900879,0.30649977922439575,-0.9516317844390869,0.021326178684830666,-0.9497573375701904,-0.30723464488983154,-0.059731606394052505,-0.28927040100097656,1.7613588571548462,-0.42798057198524475,0.16563217341899872,-0.6059783697128296,-1.4990260601043701,-0.19157880544662476,-0.5027652978897095,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7119097113609314,-0.10966227203607559,1.1285429000854492,-0.023972973227500916,116.5
28,-0.10964319109916687,-0.3692866861820221,-0.10964511334896088,0.7090883851051331,-0.10963936150074005,1.1530396938323975,-0.020183352753520012,0.7250000238418579,-0.00043828022899106145,0.1359216570854187,-0.0005478502716869116,0.05155271291732788,-0.0002465326397214085,-0.13737346231937408,-0.04903259873390198,-0.0,0.3515128493309021,-0.10517438501119614,-0.07152219116687775,0.3068784475326538,-0.9515154361724854,0.021069485694169998,-0.9495980143547058,-0.3075973689556122,-0.06039441376924515,-0.28881561756134033,1.7598645687103271,-0.42270833253860474,0.15562127530574799,-0.5988664627075195,-1.4911830425262451,-0.19441965222358704,-0.49967730045318604,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7137570381164551,-0.10966227203607559,1.123039722442627,-0.02601594105362892,116.5
29,-0.10964319109916687,-0.3638679087162018,-0.10964511334896088,0.7107143998146057,-0.10964127629995346,1.1475077867507935,-0.02221779339015484,0.7260000109672546,-2.739251431194134e-05,0.13551077246665955,-7.930164816114238e-18,0.04637552797794342,-5.478502862388268e-05,-0.13808566331863403,-0.05015569180250168,-0.0,0.35228314995765686,-0.10558784008026123,-0.07104898244142532,0.3068251609802246,-0.951517641544342,0.021736200898885727,-0.9495836496353149,-0.30758747458457947,-0.060669366270303726,-0.28500688076019287,1.7573904991149902,-0.41295126080513,0.14999638497829437,-0.6006567478179932,-1.4887477159500122,-0.19327351450920105,-0.4937998652458191,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7152143120765686,-0.10966227203607559,1.117507815361023,-0.028015999123454094,116.5
30,-0.10964319109916687,-0.35835325717926025,-0.10964511334896088,0.712242603302002,-0.10964127629995346,1.1419930458068848,-0.02424648404121399,0.7260000109672546,-9.040387940001068e-16,0.136743426322937,-7.930164816114238e-18,0.038459088653326035,-2.739251431194134e-05,-0.1381404548883438,-0.050758328288793564,-0.0,0.34997618198394775,-0.10479790717363358,-0.07243140786886215,0.30691176652908325,-0.9515244960784912,0.020156582817435265,-0.9496861100196838,-0.3075713515281677,-0.05912833288311958,-0.2885950207710266,1.752685308456421,-0.4050157070159912,0.09925374388694763,-0.5673363208770752,-1.4595288038253784,-0.20255152881145477,-0.4936319589614868,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7152202129364014,-0.10966227203607559,1.1119930744171143,-0.030323030427098274,116.5
31,-0.10964319109916687,-0.35293829441070557,-0.10964511334896088,0.7138206958770752,-0.10964127629995346,1.1364688873291016,-0.026336532086133957,0.7260000109672546,-9.040387940001068e-16,0.1365242898464203,-7.930164816114238e-18,0.03917129337787628,-8.168069471084451e-16,-0.1381952315568924,-0.05160749703645706,-0.0,0.3518539369106293,-0.10526373237371445,-0.07139725983142853,0.30604246258735657,-0.9517799615859985,0.02128058299422264,-0.9498540759086609,-0.3067767918109894,-0.060541339218616486,-0.2821963429450989,1.7526297569274902,-0.39517661929130554,0.11515539884567261,-0.5761656165122986,-1.4611023664474487,-0.20115959644317627,-0.4868364930152893,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7172753810882568,-0.10966227203607559,1.106468915939331,-0.03237131983041763,116.5
32,-0.10964319109916687,-0.34749457240104675,-0.10964511334896088,0.7146816253662109,-0.10964319109916687,1.1309484243392944,-0.02845534309744835,0.7250000238418579,-9.040387940001068e-16,0.13578468561172485,-7.930164816114238e-18,0.02889910154044628,-2.739251431194134e-05,-0.13797609508037567,-0.052812766283750534,-0.0,0.3522604703903198,-0.10536365956068039,-0.07116645574569702,0.3060495853424072,-0.9517689943313599,0.021666541695594788,-0.9498333930969238,-0.30680903792381287,-0.06070203706622124,-0.2767398953437805,1.7483935356140137,-0.38242629170417786,0.10154758393764496,-0.5736995935440063,-1.453809380531311,-0.19976986944675446,-0.4798535704612732,-0.10966227203607559,-0.0359448567032814,-0.10966227203607559,0.7177280783653259,-0.10966227203607559,1.100948452949524,-0.03444843739271164,116.5
